Plant species;Replicate;Date;Time;Total
Mangifera indica;1;28-Jul;10:00;20
Mangifera indica;1;28-Jul;16:00;11
Mangifera indica;1;29-Jul;10:00;2
Mangifera indica;1;29-Jul;15:00;1
Mangifera indica;1;30-Jul;10:00;1
Mangifera indica;1;30-Jul;15:00;1
Mangifera indica;1;31-Jul;9:30;1
Mangifera indica;1;31-Jul;15:00;0
Mangifera indica;1;1-Aug;10:00;0
Mangifera indica;1;1-Aug;16:00;0
Mangifera indica;1;2-Aug;10:00;0
Mangifera indica;1;2-Aug;15:30;0
Mangifera indica;2;5-Aug;10:00;20
Mangifera indica;2;5-Aug;16:00;11
Mangifera indica;2;6-Aug;10:00;3
Mangifera indica;2;6-Aug;16:00;0
Mangifera indica;2;7-Aug;10:00;0
Mangifera indica;2;7-Aug;15:00;0
Mangifera indica;2;8-Aug;11:00;0
Mangifera indica;2;8-Aug;16:00;0
Mangifera indica;2;9-Aug;10:00;0
Mangifera indica;3;5-Aug;10:00;20
Mangifera indica;3;5-Aug;16:00;11
Mangifera indica;3;6-Aug;10:00;0
Mangifera indica;3;6-Aug;16:00;0
Mangifera indica;3;7-Aug;10:00;0
Mangifera indica;3;7-Aug;15:00;0
Mangifera indica;3;8-Aug;11:00;0
Mangifera indica;3;9-Aug;10:00;0
Mangifera indica;4;7-Aug;10:00;20
Mangifera indica;4;7-Aug;15:00;9
Mangifera indica;4;8-Aug;11:00;0
Mangifera indica;4;8-Aug;16:00;0
Mangifera indica;4;9-Aug;10:00;0
Mangifera indica;5;8-Aug;16:00;0
Mangifera indica;6;9-Aug;10:00;20
Metopium toxiferum;1;15-Jul;14:00;20
Metopium toxiferum;1;16-Jul;10:00;6
Metopium toxiferum;1;16-Jul;16:00;8
Metopium toxiferum;1;17-Jul;10:00;3
Metopium toxiferum;1;17-Jul;15:00;0
Metopium toxiferum;1;18-Jul;10:00;0
Metopium toxiferum;1;18-Jul;15:00;0
Metopium toxiferum;1;19-Jul;10:00;0
Metopium toxiferum;1;20-Jul;10:00;0
Metopium toxiferum;1;20-Jul;16:00;0
Metopium toxiferum;1;21-Jul;9:00;0
Metopium toxiferum;2;15-Jul;14:00;20
Metopium toxiferum;2;16-Jul;10:00;2
Metopium toxiferum;2;16-Jul;16:00;4
Metopium toxiferum;2;17-Jul;10:00;0
Metopium toxiferum;2;17-Jul;15:00;0
Metopium toxiferum;2;18-Jul;10:00;0
Metopium toxiferum;2;18-Jul;15:00;0
Metopium toxiferum;2;19-Jul;10:00;0
Metopium toxiferum;3;15-Jul;16:00;20
Metopium toxiferum;3;16-Jul;10:00;0
Metopium toxiferum;3;16-Jul;16:00;0
Metopium toxiferum;3;17-Jul;10:00;1
Metopium toxiferum;3;17-Jul;15:00;0
Metopium toxiferum;3;18-Jul;10:00;0
Metopium toxiferum;3;18-Jul;15:00;0
Metopium toxiferum;3;19-Jul;10:00;0
Metopium toxiferum;4;19-Jul;15:00;20
Metopium toxiferum;4;20-Jul;10:00;5
Metopium toxiferum;4;20-Jul;16:00;4
Metopium toxiferum;4;21-Jul;9:00;2
Metopium toxiferum;4;21-Jul;16:00;0
Metopium toxiferum;4;22-Jul;10:00;0
Metopium toxiferum;4;22-Jul;10:00;0
Metopium toxiferum;4;23-Jul;10:00;0
Metopium toxiferum;4;23-Jul;15:00;0
Metopium toxiferum;4;24-Jul;10:30;0
Metopium toxiferum;5;19-Jul;15:00;20
Metopium toxiferum;5;20-Jul;10:00;2
Metopium toxiferum;5;20-Jul;16:00;1
Metopium toxiferum;5;21-Jul;9:00;0
Metopium toxiferum;5;21-Jul;16:00;0
Metopium toxiferum;5;22-Jul;10:00;0
Metopium toxiferum;5;22-Jul;10:00;0
Metopium toxiferum;5;23-Jul;10:00;0
Metopium toxiferum;6;21-Jul;9:00;20
Metopium toxiferum;6;21-Jul;16:00;14
Metopium toxiferum;6;22-Jul;10:00;12
Metopium toxiferum;6;22-Jul;10:00;12
Metopium toxiferum;6;22-Jul;16:00;9
Metopium toxiferum;6;23-Jul;10:00;1
Metopium toxiferum;6;23-Jul;15:00;0
Metopium toxiferum;6;24-Jul;10:30;0
Metopium toxiferum;6;24-Jul;15:00;0
Metopium toxiferum;6;25-Jul;10:00;0
Metopium toxiferum;6;25-Jul;15:00;0
Pistacia chinensis;1;22-Jul;10:00;20
Pistacia chinensis;1;22-Jul;16:00;17
Pistacia chinensis;1;23-Jul;10:00;3
Pistacia chinensis;1;23-Jul;15:00;1
Pistacia chinensis;1;24-Jul;10:30;0
